name|institution|course_id|language
Bugs 101: Insect-Human Interactions|University of Alberta|bugs-101|English
Autodesk Certified Professional: Revit for Architectural Design Exam Prep|Autodesk|autodesk-revit-architectural-design|English
Leading for Equity, Diversity and Inclusion in Higher Education|University of Michigan|leading-for-equity-diversity-inclusion|English
Digital Media and Marketing Strategies|University of Illinois at Urbana-Champaign|marketing-plan|English
Enterprise Architecture|Peter the Great St. Petersburg Polytechnic University|enterprise-architecture|English
Introduction to Spreadsheets and Models|University of Pennsylvania|wharton-introduction-spreadsheets-models|English
The Arts and Science of Relationships: Understanding Human Needs|University of Toronto|human-needs|English
Essentials in Clinical Simulations Across the Health Professions|The George Washington University|clinicalsimulations|English
Budgeting and Scheduling Projects|University of California, Irvine|schedule-projects|English
Machine Learning for Business Professionals|Google Cloud|machine-learning-business-professionals|English
Introduction to Accounting Data Analytics and Visualization|University of Illinois at Urbana-Champaign|intro-accounting-data-analytics-visual|English
Spanish Vocabulary: Meeting People|University of California, Davis|spanish-vocabulary-meeting-people|English
Gestión Empresarial Exitosa para Pymes|Pontificia Universidad Católica de Chile|gestionempresarialpyme|Spanish
Public Policy Challenges of the 21st Century|University of Virginia|public-policy|English
International Law in Action: the Arbitration of International Disputes|Universiteit Leiden|arbitration-international-disputes|English
Introduction to Ancient Egypt and Its Civilization|University of Pennsylvania|introancientegypt|English
Financing and Investing in Infrastructure|Università Bocconi|infrastructure-investing|English
Global Environmental Management|Technical University of Denmark (DTU)|global-environmental-management|English
Operations Analytics|University of Pennsylvania|wharton-operations-analytics|English
Entrepreneurship Strategy: From Ideation to Exit|HEC Paris|entrepreneurship-strategy|English
FinTech Law and Policy|Duke University|fintechlawandpolicy|English
The Social Context of Mental Health and Illness|University of Toronto|mental-health|English
What Is Contemporary Art?|The Museum of Modern Art|contemporary-art|English
The Art of Music Production|Berklee College of Music|producing-music|English
Biohacking Your Brain's Health|Emory University|biohacking-your-brains-health|English
Bayesian Statistics: From Concept to Data Analysis|University of California, Santa Cruz|bayesian-statistics|English
Reporting extra-financier et stratégie RSE|ESSEC Business School|reporting-extra-financier-strategie-rse|French
Leading Healthcare Quality and Safety|The George Washington University|quality-healthcare|English
Understanding International Relations Theory|National Research University Higher School of Economics|international-relations-theory|English
Introduction to Data Analytics|IBM|introduction-to-data-analytics|English
Fundamentos de Excel para Negocios|Universidad Austral|excel-para-negocios|Spanish
Elastic Google Cloud Infrastructure: Scaling and Automation|Google Cloud|gcp-infrastructure-scaling-automation|English
Cultural Competence - Aboriginal Sydney|The University of Sydney|cultural-competence-aboriginal-sydney|English
Fundamentos de Finanzas Empresariales|Universidad de los Andes|finanzas-empresariales|Spanish
Greening the Economy: Sustainable Cities|Lund University|gte-sustainable-cities|English
Introduction to Engineering Mechanics|Georgia Institute of Technology|engineering-mechanics-statics|English
Design-Led Strategy: Design thinking for business strategy and entrepreneurship|The University of Sydney|design-strategy|English
Biology Meets Programming: Bioinformatics for Beginners|University of California San Diego|bioinformatics|English
Understanding Medical Research: Your Facebook Friend is Wrong|Yale University|medical-research|English
Health Behavior Change: From Evidence to Action|Yale University|health-behavior-change|English
Ordered Data Structures|University of Illinois at Urbana-Champaign|cs-fundamentals-2|Deutsch
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential|McMaster University|mindshift|English
Programming Fundamentals|Duke University|programming-fundamentals|Deutsch
Understanding Financial Markets|University of Geneva|understanding-financial-markets|English
In the Studio: Postwar Abstract Painting|The Museum of Modern Art|painting|English
Drug Commercialization|University of California San Diego|drug-commercialization|English
Introduction to Software Product Management|University of Alberta|introduction-to-software-product-management|English
Social Norms, Social Change I|Unicef|norms|English
Excel Skills for Business: Intermediate II|Macquarie University|excel-intermediate-2|English
Aboriginal Worldviews and Education|University of Toronto|aboriginal-education|English
Information Systems Auditing, Controls and Assurance|The Hong Kong University of Science and Technology|information-systems-audit|English
Six Sigma Principles|University System of Georgia|six-sigma-principles|English
Business Writing|University of Colorado Boulder|writing-for-business|Deutsch
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep|Autodesk|autodesk-autocad-design-drafting|English
Introduction to Typography|California Institute of the Arts|typography|English
Customer Segmentation and Prospecting|Northwestern University|customer-segmentation-prospecting|English
Claves para Gestionar Personas|IESE Business School|gestionar-personas|Spanish
English for Journalism|University of Pennsylvania|journalism|English
How Things Work: An Introduction to Physics|University of Virginia|how-things-work|English
Business English: Networking|University of Washington|business-english-intro|English
